Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM - Regression Suite for Reporting Tool,Chrome 65.0.3325.181,This will be the regression testing suite. Any regression tests go in here,2018-04-16 16:06:30,2018-04-16 16:09:11,2m - 41.465s,PASSED
,,,,,,
Test Cases/Regression - Logging in and Logging out,Chrome 65.0.3325.181,This is to just test the logging in and logging out.,2018-04-16 16:06:30,2018-04-16 16:06:51,21.334s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-16 16:06:30,2018-04-16 16:06:33,2.877s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-16 16:06:33,2018-04-16 16:06:36,2.342s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-16 16:06:36,2018-04-16 16:06:37,1.022s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:06:37,2018-04-16 16:06:39,2.018s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:06:39,2018-04-16 16:06:39,0.140s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:06:39,2018-04-16 16:06:39,0.622s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:06:39,2018-04-16 16:06:41,2.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-16 16:06:41,2018-04-16 16:06:42,0.222s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-16 16:06:42,2018-04-16 16:06:42,0.102s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:06:42,2018-04-16 16:06:44,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:06:44,2018-04-16 16:06:44,0.505s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:06:44,2018-04-16 16:06:46,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:06:46,2018-04-16 16:06:46,0.074s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:06:46,2018-04-16 16:06:48,2.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:06:48,2018-04-16 16:06:49,0.358s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:06:49,2018-04-16 16:06:51,2.001s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-16 16:06:51,2018-04-16 16:06:51,0.775s,PASSED
,,,,,,
Test Cases/Browser Start,Chrome 65.0.3325.181,,2018-04-16 16:06:51,2018-04-16 16:07:01,9.386s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-16 16:06:51,2018-04-16 16:06:53,1.869s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-16 16:06:53,2018-04-16 16:06:54,1.139s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-16 16:06:54,2018-04-16 16:06:56,1.272s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:06:56,2018-04-16 16:07:01,5.001s,PASSED
comment,Chrome 65.0.3325.181,,2018-04-16 16:07:01,2018-04-16 16:07:01,0.005s,PASSED
,,,,,,
Test Cases/Logging In,Chrome 65.0.3325.181,Test logging in to the US Reporting Tool,2018-04-16 16:07:01,2018-04-16 16:07:06,5.463s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-16 16:07:01,2018-04-16 16:07:01,0.001s,NOT_RUN
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:01,2018-04-16 16:07:01,0.000s,NOT_RUN
maximizeWindow,Chrome 65.0.3325.181,,2018-04-16 16:07:01,2018-04-16 16:07:01,0.001s,NOT_RUN
navigateToUrl,Chrome 65.0.3325.181,,2018-04-16 16:07:01,2018-04-16 16:07:01,0.001s,NOT_RUN
comment,Chrome 65.0.3325.181,,2018-04-16 16:07:01,2018-04-16 16:07:01,0.000s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:01,2018-04-16 16:07:03,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:03,2018-04-16 16:07:04,0.644s,PASSED
comment,Chrome 65.0.3325.181,,2018-04-16 16:07:04,2018-04-16 16:07:04,0.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-16 16:07:04,2018-04-16 16:07:04,0.157s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:04,2018-04-16 16:07:05,1.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-16 16:07:05,2018-04-16 16:07:05,0.098s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:05,2018-04-16 16:07:06,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:06,0.410s,PASSED
,,,,,,
Test Cases/Regression - Button Pushes,Chrome 65.0.3325.181,This test will just push each button in the website.,2018-04-16 16:07:06,2018-04-16 16:09:09,2m - 2.493s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:06,0.000s,NOT_RUN
navigateToUrl,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:06,0.000s,NOT_RUN
maximizeWindow,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:06,0.001s,NOT_RUN
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:06,0.000s,NOT_RUN
callTestCase,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:06,0.001s,NOT_RUN
comment,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:06,0.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:06,0.049s,PASSED
comment,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:06,0.000s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:06,2018-04-16 16:07:08,2.001s,PASSED
comment,Chrome 65.0.3325.181,,2018-04-16 16:07:08,2018-04-16 16:07:08,0.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:08,2018-04-16 16:07:10,1.750s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:10,2018-04-16 16:07:11,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:11,2018-04-16 16:07:11,0.107s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:11,2018-04-16 16:07:12,1.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:12,2018-04-16 16:07:12,0.057s,PASSED
