Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM- Reporting tool suite,Chrome 65.0.3325.181,Just a start,2018-03-29 15:16:49,2018-03-29 15:20:46,3m - 56.925s,PASSED
,,,,,,
Test Cases/Browser Start,Chrome 65.0.3325.181,,2018-03-29 15:16:49,2018-03-29 15:17:04,14.907s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-29 15:16:49,2018-03-29 15:16:57,7.677s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-03-29 15:16:57,2018-03-29 15:16:58,1.128s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-29 15:16:58,2018-03-29 15:16:59,0.874s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:16:59,2018-03-29 15:17:04,5.024s,PASSED
comment,Chrome 65.0.3325.181,,2018-03-29 15:17:04,2018-03-29 15:17:04,0.004s,PASSED
,,,,,,
Test Cases/Logging In,Chrome 65.0.3325.181,Test logging in to the US Reporting Tool,2018-03-29 15:17:04,2018-03-29 15:17:09,5.313s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-29 15:17:04,2018-03-29 15:17:04,0.000s,NOT_RUN
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:04,2018-03-29 15:17:04,0.000s,NOT_RUN
maximizeWindow,Chrome 65.0.3325.181,,2018-03-29 15:17:04,2018-03-29 15:17:04,0.000s,NOT_RUN
navigateToUrl,Chrome 65.0.3325.181,,2018-03-29 15:17:04,2018-03-29 15:17:04,0.000s,NOT_RUN
comment,Chrome 65.0.3325.181,,2018-03-29 15:17:04,2018-03-29 15:17:04,0.000s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:04,2018-03-29 15:17:06,2.016s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:06,2018-03-29 15:17:07,0.618s,PASSED
comment,Chrome 65.0.3325.181,,2018-03-29 15:17:07,2018-03-29 15:17:07,0.000s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 15:17:07,2018-03-29 15:17:07,0.129s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:07,2018-03-29 15:17:08,1.002s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 15:17:08,2018-03-29 15:17:08,0.093s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:08,2018-03-29 15:17:09,1.000s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:09,2018-03-29 15:17:09,0.352s,PASSED
,,,,,,
Test Cases/Push all the buttons,Chrome 65.0.3325.181,,2018-03-29 15:17:09,2018-03-29 15:19:08,1m - 58.679s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-29 15:17:10,2018-03-29 15:17:10,0.001s,NOT_RUN
navigateToUrl,Chrome 65.0.3325.181,,2018-03-29 15:17:10,2018-03-29 15:17:10,0.000s,NOT_RUN
maximizeWindow,Chrome 65.0.3325.181,,2018-03-29 15:17:10,2018-03-29 15:17:10,0.000s,NOT_RUN
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:10,2018-03-29 15:17:10,0.000s,NOT_RUN
callTestCase,Chrome 65.0.3325.181,,2018-03-29 15:17:10,2018-03-29 15:17:10,0.000s,NOT_RUN
comment,Chrome 65.0.3325.181,,2018-03-29 15:17:10,2018-03-29 15:17:10,0.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-29 15:17:10,2018-03-29 15:17:10,0.068s,PASSED
comment,Chrome 65.0.3325.181,,2018-03-29 15:17:10,2018-03-29 15:17:10,0.000s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:10,2018-03-29 15:17:12,2.001s,PASSED
comment,Chrome 65.0.3325.181,,2018-03-29 15:17:12,2018-03-29 15:17:12,0.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:12,2018-03-29 15:17:13,1.636s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:13,2018-03-29 15:17:14,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:14,2018-03-29 15:17:14,0.076s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:14,2018-03-29 15:17:15,1.000s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:15,2018-03-29 15:17:15,0.076s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:15,2018-03-29 15:17:16,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:16,2018-03-29 15:17:17,0.065s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:17,2018-03-29 15:17:18,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:18,2018-03-29 15:17:18,0.066s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:18,2018-03-29 15:17:20,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-29 15:17:20,2018-03-29 15:17:20,0.054s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:20,2018-03-29 15:17:22,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:22,2018-03-29 15:17:22,0.323s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:22,2018-03-29 15:17:23,1.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-29 15:17:23,2018-03-29 15:17:23,0.039s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:23,2018-03-29 15:17:25,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:25,2018-03-29 15:17:25,0.308s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:25,2018-03-29 15:17:26,1.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-29 15:17:26,2018-03-29 15:17:26,0.044s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:26,2018-03-29 15:17:28,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:17:28,2018-03-29 15:17:29,0.347s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:29,2018-03-29 15:17:30,1.002s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-29 15:17:30,2018-03-29 15:17:30,0.037s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 15:17:30,2018-03-29 15:17:31,1.001s,PASSED
