Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM-Staging Reporting Tool Suite,Chrome 66.0.3359.139,For the GM Staging Server,2018-05-03 15:39:35,2018-05-03 15:46:37,7m - 2.131s,FAILED
,,,,,,
Test Cases/Staging Server-Browser Start,Chrome 66.0.3359.139,,2018-05-03 15:39:36,2018-05-03 15:39:57,21.815s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 15:39:36,2018-05-03 15:39:42,6.658s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 15:39:42,2018-05-03 15:39:46,3.131s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 15:39:46,2018-05-03 15:39:52,6.809s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 15:39:52,2018-05-03 15:39:57,5.014s,PASSED
comment,Chrome 66.0.3359.139,,2018-05-03 15:39:57,2018-05-03 15:39:57,0.004s,PASSED
,,,,,,
Test Cases/Logging In,Chrome 66.0.3359.139,Test logging in to the US Reporting Tool,2018-05-03 15:39:57,2018-05-03 15:40:27,29.365s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 15:39:57,2018-05-03 15:39:58,0.002s,NOT_RUN
delay,Chrome 66.0.3359.139,,2018-05-03 15:39:58,2018-05-03 15:39:58,0.001s,NOT_RUN
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 15:39:58,2018-05-03 15:39:58,0.001s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 15:39:58,2018-05-03 15:39:58,0.001s,NOT_RUN
comment,Chrome 66.0.3359.139,,2018-05-03 15:39:58,2018-05-03 15:39:58,0.001s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 15:39:58,2018-05-03 15:40:00,2.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:40:00,2018-05-03 15:40:04,4.517s,PASSED
comment,Chrome 66.0.3359.139,,2018-05-03 15:40:04,2018-05-03 15:40:04,0.001s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 15:40:04,2018-05-03 15:40:12,8.128s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 15:40:12,2018-05-03 15:40:13,1.002s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 15:40:13,2018-05-03 15:40:21,8.096s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 15:40:21,2018-05-03 15:40:22,1.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:40:22,2018-05-03 15:40:27,4.501s,PASSED
,,,,,,
Test Cases/Button Pushes,Chrome 66.0.3359.139,This test will just push each button in the website.,2018-05-03 15:40:27,2018-05-03 15:46:23,5m - 56.489s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 15:40:27,2018-05-03 15:40:27,0.001s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 15:40:27,2018-05-03 15:40:27,0.001s,NOT_RUN
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 15:40:27,2018-05-03 15:40:27,0.001s,NOT_RUN
callTestCase,Chrome 66.0.3359.139,,2018-05-03 15:40:27,2018-05-03 15:40:27,0.001s,NOT_RUN
comment,Chrome 66.0.3359.139,,2018-05-03 15:40:27,2018-05-03 15:40:27,0.000s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:40:27,2018-05-03 15:40:33,6.058s,PASSED
comment,Chrome 66.0.3359.139,,2018-05-03 15:40:33,2018-05-03 15:40:33,0.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:40:33,2018-05-03 15:40:38,4.616s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:40:38,2018-05-03 15:40:42,4.085s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:40:42,2018-05-03 15:40:46,4.080s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:40:46,2018-05-03 15:40:50,4.065s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:40:50,2018-05-03 15:40:54,4.066s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:40:54,2018-05-03 15:41:00,6.038s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:41:00,2018-05-03 15:41:04,4.405s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:41:04,2018-05-03 15:41:10,6.034s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:41:10,2018-05-03 15:41:15,4.390s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:41:15,2018-05-03 15:41:21,6.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:41:21,2018-05-03 15:41:25,4.419s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:41:25,2018-05-03 15:41:31,6.039s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:41:31,2018-05-03 15:41:37,6.041s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:41:37,2018-05-03 15:41:42,4.523s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:41:42,2018-05-03 15:41:48,6.040s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:41:48,2018-05-03 15:41:54,6.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:41:54,2018-05-03 15:41:58,4.466s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:41:58,2018-05-03 15:42:04,6.042s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:42:04,2018-05-03 15:42:10,6.040s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:42:10,2018-05-03 15:42:15,4.450s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:42:15,2018-05-03 15:42:21,6.039s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:42:21,2018-05-03 15:42:27,6.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:42:27,2018-05-03 15:42:31,4.413s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:42:31,2018-05-03 15:42:37,6.040s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:42:37,2018-05-03 15:42:43,6.038s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:42:43,2018-05-03 15:42:48,4.420s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:42:48,2018-05-03 15:42:54,6.042s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:42:54,2018-05-03 15:43:00,6.040s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:43:00,2018-05-03 15:43:04,4.428s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:43:04,2018-05-03 15:43:10,6.039s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:43:10,2018-05-03 15:43:16,6.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:43:16,2018-05-03 15:43:47,30.120s,FAILED
